model,mode,image_name,region,gt_name,gt_tag,pred_name,pred_tag
gemma3:12b,vlm,brooklyn__100__crop_001,brooklyn,BARGAINLAND,shop=supermarket,BARGAINLAND DEPARTMENT STORES,shop=supermarket
gemma3:12b,vlm,brooklyn__100__crop_002,brooklyn,HIGH UNIVERSE,,HIGH UNIVERSE,unknown
gemma3:12b,vlm,brooklyn__10__crop_002,brooklyn,ISLAND RIBHOUSE,amenity=restaurant,ISLAND RIBHOUSE,amenity=restaurant
gemma3:12b,vlm,brooklyn__11__crop_001,brooklyn,LIT TAX SOLUTIONS,,ELITE TAX SOLUTIONS INC.,office=company
gemma3:12b,vlm,brooklyn__12__crop_001,brooklyn,ISLAND RIBHOUSE,amenity=restaurant,ISLAND RIBHOUSE,amenity=restaurant
gemma3:12b,vlm,brooklyn__13__crop_001,brooklyn,FOOD WINE GROCER,shop=supermarket,FOOD WINE GROCER,shop=supermarket
gemma3:12b,vlm,brooklyn__13__crop_002,brooklyn,9ROUND,leisure=fitness_centre,9ROUND,leisure=fitness_centre
gemma3:12b,vlm,brooklyn__14__crop_002,brooklyn,Hello One Nail Spa,shop=beauty,Hello One Nail Spa Inc,shop=beauty
gemma3:12b,vlm,brooklyn__15__crop_001,brooklyn,30 MIN KICKBOX FITNESS,leisure=fitness_centre,9ROUND,leisure=fitness_centre
gemma3:12b,vlm,brooklyn__15__crop_002,brooklyn,FOOD WINE GROCER,shop=supermarket,FOOD WINE GROCER,shop=supermarket
gemma3:12b,vlm,brooklyn__16__crop_001,brooklyn,FLY WING E BIKE,shop=car_repair,FLY WING E-BIKE,shop=motorcycle
gemma3:12b,vlm,brooklyn__16__crop_002,brooklyn,CAMBRIDGE LEACH INC,office=company,CAMBRIDGE & LEACH INC.,office=company
gemma3:12b,vlm,brooklyn__17__crop_001,brooklyn,Hello One Nail Spa,shop=beauty,Hello One Nail Spa Inc,shop=beauty
gemma3:12b,vlm,brooklyn__17__crop_003,brooklyn,total wireless,shop=mobile_phone,total wireless,shop=mobile_phone
gemma3:12b,vlm,brooklyn__18__crop_001,brooklyn,Dry Cleaning Service,shop=laundry,Champion Laundry & Dry Cleaning Service,shop=laundry
gemma3:12b,vlm,brooklyn__18__crop_002,brooklyn,ABC BARBER SHOP,shop=hairdresser,ABC II Barber Shop Unisex,shop=hairdresser
gemma3:12b,vlm,brooklyn__18__crop_003,brooklyn,FLY WING E BIKE,shop=car_repair,FLY WING E-BIKE,shop=motorcycle
gemma3:12b,vlm,brooklyn__19__crop_001,brooklyn,total wireless,shop=mobile_phone,total wireless,shop=mobile_phone
gemma3:12b,vlm,brooklyn__1__crop_001,brooklyn,OFF THE GRILL,amenity=restaurant,OFF THE GRILL,amenity=restaurant
gemma3:12b,vlm,brooklyn__20__crop_001,brooklyn,island pops,amenity=cafe,island pops,amenity=ice_cream
gemma3:12b,vlm,brooklyn__20__crop_002,brooklyn,EMS ACCOUNTING SERVICE,office=company,EMS Accounting Service Inc,office=company
gemma3:12b,vlm,brooklyn__21__crop_001,brooklyn,Nostrands Nugs,shop=supermarket,Nostrand's Nugs,unknown
gemma3:12b,vlm,brooklyn__21__crop_002,brooklyn,4 BROTHERS FOOD CORP,amenity=restaurant,4 BROTHERS FOOD CORP,shop=supermarket
gemma3:12b,vlm,brooklyn__23__crop_001,brooklyn,URBAN MARKET BY,shop=supermarket,URBAN MARKET BY Key Food FRESH,shop=supermarket
gemma3:12b,vlm,brooklyn__24__crop_001,brooklyn,RYERSON,amenity=restaurant,the RYERSON,office=building
gemma3:12b,vlm,brooklyn__25__crop_001,brooklyn,URBAN MARKET BY,shop=supermarket,URBAN MARKET BY Key Food FRESH,shop=supermarket
gemma3:12b,vlm,brooklyn__26__crop_001,brooklyn,RYERSON,amenity=restaurant,the RYERSON,office=building
gemma3:12b,vlm,brooklyn__27__crop_002,brooklyn,SHORTY CANDY,shop=supermarket,Shorty Candy & Grocery Co.,shop=convenience
gemma3:12b,vlm,brooklyn__28__crop_001,brooklyn,GALAXY BEAUTY SHOP,shop=beauty,GALAXY BEAUTY SHOP,shop=beauty
gemma3:12b,vlm,brooklyn__29__crop_001,brooklyn,CROWN DISCOUNT STORE 99,shop=supermarket,CROWN DISCOUNT STORE & 99¢,shop=convenience
gemma3:12b,vlm,brooklyn__2__crop_001,brooklyn,DUTCH CLEANERS,shop=laundry,DUTCH CLEANERS,shop=laundry
gemma3:12b,vlm,brooklyn__2__crop_002,brooklyn,VAPE N CLOUD,shop=smoke_shop,VAPE N CLOUD,shop=smoke_shop
gemma3:12b,vlm,brooklyn__2__crop_003,brooklyn,SPRINT REALTY INC,office=estate_agent,SPRINT REALTY INC.,office=estate_agent
gemma3:12b,vlm,brooklyn__30__crop_002,brooklyn,SHORT CANDY,shop=supermarket,Shorty Candy & Grocery Co.,shop=convenience
gemma3:12b,vlm,brooklyn__30__crop_003,brooklyn,812 CORP,shop=supermarket,812 CORP.,office=company
gemma3:12b,vlm,brooklyn__31__crop_001,brooklyn,DELI GRILL,shop=convenience,Wise Deli & Grill,amenity=restaurant
gemma3:12b,vlm,brooklyn__32__crop_001,brooklyn,SALS RESTAURANT,amenity=restaurant,Sal's Restaurant,amenity=restaurant
gemma3:12b,vlm,brooklyn__32__crop_002,brooklyn,EASTERN FRANKLIN WINES LIQUORS,amenity=bar,WINES & LIQUORS,shop=smoke_shop
gemma3:12b,vlm,brooklyn__32__crop_003,brooklyn,DUNKIN,shop=bakery,DUNKIN' DONUTS,amenity=fast_food
gemma3:12b,vlm,brooklyn__33__crop_001,brooklyn,Capital One Bank,amenity=bank,Capital One Bank,amenity=bank
