model,mode,image_name,region,gt_name,gt_tag,pred_name,pred_tag,rag_hits,in_db
qwen3-vl:32b-instruct,vlmrag,brooklyn__100__crop_001,brooklyn,BARGAINLAND,shop=supermarket,BARGAINLAND DEPARTMENT STORES,shop=department_store,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__100__crop_002,brooklyn,HIGH UNIVERSE,,HIGH UNIVERSE,amenity=bar,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__10__crop_002,brooklyn,ISLAND RIBHOUSE,amenity=restaurant,ISLAND RIBHOUSE,amenity=restaurant,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__11__crop_001,brooklyn,LIT TAX SOLUTIONS,,ELITE TAX SOLUTIONS INC.,office=company,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__12__crop_001,brooklyn,ISLAND RIBHOUSE,amenity=restaurant,ISLAND RIBHOUSE,amenity=restaurant,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__13__crop_001,brooklyn,FOOD WINE GROCER,shop=supermarket,FOOD WINE GROCER,shop=convenience,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__13__crop_002,brooklyn,9ROUND,leisure=fitness_centre,9ROUND,leisure=fitness_centre,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__14__crop_002,brooklyn,Hello One Nail Spa,shop=beauty,Hello One Nail Spa Inc,shop=beauty,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__15__crop_001,brooklyn,30 MIN KICKBOX FITNESS,leisure=fitness_centre,9ROUND,leisure=fitness_centre,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__15__crop_002,brooklyn,FOOD WINE GROCER,shop=supermarket,FOOD WINE GROCER,shop=convenience,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__16__crop_001,brooklyn,FLY WING E BIKE,shop=car_repair,FLY WING E-BIKE,shop=motorcycle,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__16__crop_002,brooklyn,CAMBRIDGE LEACH INC,office=company,CAMBRIDGE & LEACH INC.,office=company,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__17__crop_001,brooklyn,Hello One Nail Spa,shop=beauty,Hello One Nail Spa Inc,shop=beauty,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__17__crop_003,brooklyn,total wireless,shop=mobile_phone,total wireless,shop=mobile_phone,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__18__crop_001,brooklyn,Dry Cleaning Service,shop=laundry,Champion Laundry & Dry Cleaning Service,shop=laundry,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__18__crop_002,brooklyn,ABC BARBER SHOP,shop=hairdresser,ABC II BARBER SHOP Unisex,shop=hairdresser,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__18__crop_003,brooklyn,FLY WING E BIKE,shop=car_repair,FLY WING E-BIKE,shop=motorcycle,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__19__crop_001,brooklyn,total wireless,shop=mobile_phone,total wireless,shop=mobile_phone,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__1__crop_001,brooklyn,OFF THE GRILL,amenity=restaurant,OFF THE GRILL,amenity=restaurant,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__20__crop_001,brooklyn,island pops,amenity=cafe,island pops,amenity=ice_cream,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__20__crop_002,brooklyn,EMS ACCOUNTING SERVICE,office=company,EMS ACCOUNTING SERVICE inc,office=company,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__21__crop_001,brooklyn,Nostrands Nugs,shop=supermarket,Nostrands Nugs,amenity=fast_food,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__21__crop_002,brooklyn,4 BROTHERS FOOD CORP,amenity=restaurant,4 BROTHERS FOOD CORP,shop=convenience,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__23__crop_001,brooklyn,URBAN MARKET BY,shop=supermarket,URBAN MARKET BY KeyFood FRESH,shop=supermarket,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__24__crop_001,brooklyn,RYERSON,amenity=restaurant,the RYERSON,tourism=hotel,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__25__crop_001,brooklyn,URBAN MARKET BY,shop=supermarket,URBAN MARKET BY KeyFood FRESH,shop=supermarket,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__26__crop_001,brooklyn,RYERSON,amenity=restaurant,the RYERSON,amenity=bar,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__27__crop_002,brooklyn,SHORTY CANDY,shop=supermarket,SHORTY CANDY & Grocery Corp.,shop=convenience,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__28__crop_001,brooklyn,GALAXY BEAUTY SHOP,shop=beauty,816 GALAXY 816 BEAUTY SHOP INC.,shop=beauty,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__29__crop_001,brooklyn,CROWN DISCOUNT STORE 99,shop=supermarket,CROWN DISCOUNT STORE & 99¢ & UP,shop=convenience,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__2__crop_001,brooklyn,DUTCH CLEANERS,shop=laundry,DUTCH CLEANERS,shop=laundry,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__2__crop_002,brooklyn,VAPE N CLOUD,shop=smoke_shop,VAPE N CLOUD,shop=smoke_shop,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__2__crop_003,brooklyn,SPRINT REALTY INC,office=estate_agent,SPRINT REALTY INC.,office=estate_agent,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__30__crop_002,brooklyn,SHORT CANDY,shop=supermarket,SHORTY CANDY & Grocery Corp.,shop=convenience,5,0
qwen3-vl:32b-instruct,vlmrag,brooklyn__30__crop_003,brooklyn,812 CORP,shop=supermarket,812 CORP.,office=company,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__31__crop_001,brooklyn,DELI GRILL,shop=convenience,Wise DELI & GRILL,shop=convenience,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__32__crop_001,brooklyn,SALS RESTAURANT,amenity=restaurant,SAL'S RESTAURANT,amenity=restaurant,5,1
qwen3-vl:32b-instruct,vlmrag,brooklyn__32__crop_002,brooklyn,EASTERN FRANKLIN WINES LIQUORS,amenity=bar,EASTERN & FRANKLIN WINES & LIQUORS,shop=alcohol,5,1
